Column1,t1,t2,norm.dist,dataset,pair
1,all,pass,0.350775507,Bergsten_2013,all-pass
2,all,fail,0.62617817,Bergsten_2013,all-fail
3,pass,fail,0.700816969,Bergsten_2013,pass-fail
4,all,pass,0.477692851,Bergsten_2013,all-pass
5,all,fail,0.315304731,Bergsten_2013,all-fail
6,pass,fail,0.594093809,Bergsten_2013,pass-fail
7,all,pass,0.443446135,Bergsten_2013,all-pass
8,all,fail,0.281930091,Bergsten_2013,all-fail
9,pass,fail,0.51589486,Bergsten_2013,pass-fail
10,all,pass,0.444710882,Bergsten_2013,all-pass
11,all,fail,0.304335457,Bergsten_2013,all-fail
12,pass,fail,0.557947723,Bergsten_2013,pass-fail
13,all,pass,0.228585385,Bergsten_2013,all-pass
14,all,fail,0.483387633,Bergsten_2013,all-fail
15,pass,fail,0.524298206,Bergsten_2013,pass-fail
16,all,pass,0.483661629,Bergsten_2013,all-pass
17,all,fail,0.70001212,Bergsten_2013,all-fail
18,pass,fail,0.930939803,Bergsten_2013,pass-fail
19,all,pass,0.440199597,Bergsten_2013,all-pass
20,all,fail,0.303581166,Bergsten_2013,all-fail
21,pass,fail,0.561485068,Bergsten_2013,pass-fail
22,all,pass,0,Bergsten_2013,all-pass
23,all,fail,1.337105708,Bergsten_2013,all-fail
24,pass,fail,1.328505434,Bergsten_2013,pass-fail
25,all,pass,0.323100213,Bergsten_2013,all-pass
26,all,fail,0.633304922,Bergsten_2013,all-fail
27,pass,fail,0.74407476,Bergsten_2013,pass-fail
28,all,pass,0.394796004,Bergsten_2013,all-pass
29,all,fail,0.47914874,Bergsten_2013,all-fail
30,pass,fail,0.644546887,Bergsten_2013,pass-fail
31,all,pass,0.280661854,Bergsten_2013,all-pass
32,all,fail,0.539374547,Bergsten_2013,all-fail
33,pass,fail,0.614081257,Bergsten_2013,pass-fail
34,all,pass,0.724904082,Bergsten_2013,all-pass
35,all,fail,0.189083549,Bergsten_2013,all-fail
36,pass,fail,0.810527957,Bergsten_2013,pass-fail
37,all,pass,0.280275621,Bergsten_2013,all-pass
38,all,fail,0.48584608,Bergsten_2013,all-fail
39,pass,fail,0.568008832,Bergsten_2013,pass-fail
40,all,pass,0.187489725,Bergsten_2013,all-pass
41,all,fail,0.790497017,Bergsten_2013,all-fail
42,pass,fail,0.850535242,Bergsten_2013,pass-fail
43,all,pass,0.186830514,Bergsten_2013,all-pass
44,all,fail,0.805507353,Bergsten_2013,all-fail
45,pass,fail,0.852030604,Bergsten_2013,pass-fail
46,all,pass,0.365291191,Bergsten_2013,all-pass
47,all,fail,0.663547827,Bergsten_2013,all-fail
48,pass,fail,0.777578763,Bergsten_2013,pass-fail
49,all,pass,0.64422812,Bergsten_2013,all-pass
50,all,fail,0.327080523,Bergsten_2013,all-fail
51,pass,fail,0.770020424,Bergsten_2013,pass-fail
52,all,pass,0.473047479,Bergsten_2013,all-pass
53,all,fail,0.37397904,Bergsten_2013,all-fail
54,pass,fail,0.681199941,Bergsten_2013,pass-fail
55,all,pass,0.349875169,Bergsten_2013,all-pass
56,all,fail,0.759194856,Bergsten_2013,all-fail
57,pass,fail,0.968227209,Bergsten_2013,pass-fail
58,all,pass,0.202576608,Bergsten_2013,all-pass
59,all,fail,0.768358698,Bergsten_2013,all-fail
60,pass,fail,0.840620175,Bergsten_2013,pass-fail
61,all,pass,0.163008384,Broughton_2013,all-pass
62,all,fail,0.174979357,Broughton_2013,all-fail
63,pass,fail,0.231074295,Broughton_2013,pass-fail
64,all,pass,0.233551416,Broughton_2013,all-pass
65,all,fail,0.149024489,Broughton_2013,all-fail
66,pass,fail,0.244391264,Broughton_2013,pass-fail
67,all,pass,0.308422176,Broughton_2013,all-pass
68,all,fail,0.143401546,Broughton_2013,all-fail
69,pass,fail,0.302756832,Broughton_2013,pass-fail
70,all,pass,0.263659714,Broughton_2013,all-pass
71,all,fail,0,Broughton_2013,all-fail
72,pass,fail,0.263699662,Broughton_2013,pass-fail
73,all,pass,0.411057619,Broughton_2013,all-pass
74,all,fail,0,Broughton_2013,all-fail
75,pass,fail,0.409694635,Broughton_2013,pass-fail
76,all,pass,0.320221409,Broughton_2013,all-pass
77,all,fail,0.080438674,Broughton_2013,all-fail
78,pass,fail,0.294236275,Broughton_2013,pass-fail
79,all,pass,0.22960586,Broughton_2013,all-pass
80,all,fail,0.123847731,Broughton_2013,all-fail
81,pass,fail,0.265282319,Broughton_2013,pass-fail
82,all,pass,0.319531847,Broughton_2013,all-pass
83,all,fail,0.180266161,Broughton_2013,all-fail
84,pass,fail,0.343714029,Broughton_2013,pass-fail
85,all,pass,0.274264027,Broughton_2013,all-pass
86,all,fail,0.063151838,Broughton_2013,all-fail
87,pass,fail,0.290809066,Broughton_2013,pass-fail
88,all,pass,0.217798856,Broughton_2013,all-pass
89,all,fail,0.171739299,Broughton_2013,all-fail
90,pass,fail,0.291650458,Broughton_2013,pass-fail
