"","t1","t2","norm.dist","dataset","test"
"1","all","fail",NA,"Anderson_2013","MPTIS"
"2","all","pass",NA,"Anderson_2013","MPTIS"
"3","fail","pass",NA,"Anderson_2013","MPTIS"
"4","all","fail",0.351245418697523,"Anderson_2013","MPTMS"
"5","all","pass",1.0899299438035,"Anderson_2013","MPTMS"
"6","fail","pass",1.04929838385692,"Anderson_2013","MPTMS"
"7","all","fail",0.998168156406131,"Anderson_2013","MPTS"
"8","all","pass",0.450403071711438,"Anderson_2013","MPTS"
"9","fail","pass",1.0577690952415,"Anderson_2013","MPTS"
"10","all","fail",NA,"Bergsten_2013","MPTIS"
"11","all","pass",NA,"Bergsten_2013","MPTIS"
"12","fail","pass",NA,"Bergsten_2013","MPTIS"
"13","all","fail",0.403282055393467,"Bergsten_2013","MPTMS"
"14","all","pass",0.346545438670858,"Bergsten_2013","MPTMS"
"15","fail","pass",0.562637817082373,"Bergsten_2013","MPTMS"
"16","all","fail",0.481174137381824,"Bergsten_2013","MPTS"
"17","all","pass",0.344161516719141,"Bergsten_2013","MPTS"
"18","fail","pass",0.629269306298911,"Bergsten_2013","MPTS"
"19","all","fail",0.281034538526276,"Broughton_2013","MPTIS"
"20","all","pass",0.13338158430603,"Broughton_2013","MPTIS"
"21","fail","pass",0.310336702083871,"Broughton_2013","MPTIS"
"22","all","fail",0.154414165610811,"Broughton_2013","MPTMS"
"23","all","pass",0.193591141184537,"Broughton_2013","MPTMS"
"24","fail","pass",0.253072279356531,"Broughton_2013","MPTMS"
"25","all","fail",0.10629343990998,"Broughton_2013","MPTS"
"26","all","pass",0.263776216123575,"Broughton_2013","MPTS"
"27","fail","pass",0.276061399078884,"Broughton_2013","MPTS"
"28","all","fail",NA,"Brown_2012","MPTIS"
"29","all","pass",NA,"Brown_2012","MPTIS"
"30","fail","pass",NA,"Brown_2012","MPTIS"
"31","all","fail",0.253812737464098,"Brown_2012","MPTMS"
"32","all","pass",0.370071398085303,"Brown_2012","MPTMS"
"33","fail","pass",0.453279751090724,"Brown_2012","MPTMS"
"34","all","fail",NA,"Brown_2012","MPTS"
"35","all","pass",NA,"Brown_2012","MPTS"
"36","fail","pass",NA,"Brown_2012","MPTS"
"37","all","fail",0.636612202933052,"Cannon_2016a","MPTIS"
"38","all","pass",0.100385210627956,"Cannon_2016a","MPTIS"
"39","fail","pass",0.650324999926325,"Cannon_2016a","MPTIS"
"40","all","fail",0.204811230868536,"Cannon_2016a","MPTMS"
"41","all","pass",0.312603851048586,"Cannon_2016a","MPTMS"
"42","fail","pass",0.231989148821343,"Cannon_2016a","MPTMS"
"43","all","fail",0.48334014812087,"Cannon_2016a","MPTS"
"44","all","pass",0.179628152401325,"Cannon_2016a","MPTS"
"45","fail","pass",0.502041444876654,"Cannon_2016a","MPTS"
"46","all","fail",NA,"Cognato_2001","MPTIS"
"47","all","pass",NA,"Cognato_2001","MPTIS"
"48","fail","pass",NA,"Cognato_2001","MPTIS"
"49","all","fail",0.30978176568447,"Cognato_2001","MPTMS"
"50","all","pass",0.362076077575948,"Cognato_2001","MPTMS"
"51","fail","pass",0.457710347577918,"Cognato_2001","MPTMS"
"52","all","fail",0.31108779576279,"Cognato_2001","MPTS"
"53","all","pass",0.340532616951308,"Cognato_2001","MPTS"
"54","fail","pass",0.43693373967347,"Cognato_2001","MPTS"
"55","all","fail",NA,"Day_2013","MPTIS"
"56","all","pass",NA,"Day_2013","MPTIS"
"57","fail","pass",NA,"Day_2013","MPTIS"
"58","all","fail",0.37123174352279,"Day_2013","MPTMS"
"59","all","pass",0.512785686447477,"Day_2013","MPTMS"
"60","fail","pass",0.589260658125008,"Day_2013","MPTMS"
"61","all","fail",NA,"Day_2013","MPTS"
"62","all","pass",NA,"Day_2013","MPTS"
"63","fail","pass",NA,"Day_2013","MPTS"
"64","all","fail",NA,"Devitt_2013","MPTIS"
"65","all","pass",NA,"Devitt_2013","MPTIS"
"66","fail","pass",NA,"Devitt_2013","MPTIS"
"67","all","fail",NA,"Devitt_2013","MPTMS"
"68","all","pass",NA,"Devitt_2013","MPTMS"
"69","fail","pass",NA,"Devitt_2013","MPTMS"
"70","all","fail",NA,"Devitt_2013","MPTS"
"71","all","pass",NA,"Devitt_2013","MPTS"
"72","fail","pass",NA,"Devitt_2013","MPTS"
"73","all","fail",NA,"Dornburg_2012","MPTIS"
"74","all","pass",NA,"Dornburg_2012","MPTIS"
"75","fail","pass",NA,"Dornburg_2012","MPTIS"
"76","all","fail",0.157285742652509,"Dornburg_2012","MPTMS"
"77","all","pass",0.543501215500311,"Dornburg_2012","MPTMS"
"78","fail","pass",0.602385744978794,"Dornburg_2012","MPTMS"
"79","all","fail",0.314970835269647,"Dornburg_2012","MPTS"
"80","all","pass",0.522730418110819,"Dornburg_2012","MPTS"
"81","fail","pass",0.587141676975211,"Dornburg_2012","MPTS"
"82","all","fail",0.189289188017349,"Faircloth_2013","MPTIS"
"83","all","pass",0,"Faircloth_2013","MPTIS"
"84","fail","pass",0.189625410123075,"Faircloth_2013","MPTIS"
"85","all","fail",0.190496335267923,"Faircloth_2013","MPTMS"
"86","all","pass",0.23178645553851,"Faircloth_2013","MPTMS"
"87","fail","pass",0.183712393952137,"Faircloth_2013","MPTMS"
"88","all","fail",0.189089138277408,"Faircloth_2013","MPTS"
"89","all","pass",0.232560533010705,"Faircloth_2013","MPTS"
"90","fail","pass",0.184393572962221,"Faircloth_2013","MPTS"
"91","all","fail",NA,"Fong_2012","MPTIS"
"92","all","pass",NA,"Fong_2012","MPTIS"
"93","fail","pass",NA,"Fong_2012","MPTIS"
"94","all","fail",0.250679162282429,"Fong_2012","MPTMS"
"95","all","pass",0.641994066859185,"Fong_2012","MPTMS"
"96","fail","pass",0.609065988860759,"Fong_2012","MPTMS"
"97","all","fail",0.269932898319408,"Fong_2012","MPTS"
"98","all","pass",0.651371705806727,"Fong_2012","MPTS"
"99","fail","pass",0.641143243742266,"Fong_2012","MPTS"
"100","all","fail",0.292936886934848,"Horn_2014","MPTIS"
"101","all","pass",0.249695755336601,"Horn_2014","MPTIS"
"102","fail","pass",0.386548728570522,"Horn_2014","MPTIS"
"103","all","fail",0.261368035709893,"Horn_2014","MPTMS"
"104","all","pass",0.311869191467738,"Horn_2014","MPTMS"
