Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	A	C	D	E	F	G	H	I	K	L	M	N	P	Q	R	S	T	V	W	Y	B	J	Z	X	.	*	-	?
alignment.nex	uid41317	28217	10718	37.984	1741	140	1035	1186	630	1433	384	1060	865	1559	483	510	759	706	1258	884	924	1371	175	396	0	0	0	0	0	0	10718	0
alignment.nex	uid41425	28217	10476	37.127	1708	169	1086	1368	587	1501	382	886	931	1572	436	473	791	554	1443	900	867	1415	197	475	0	0	0	0	0	0	10476	0
alignment.nex	uid41861	28217	11204	39.707	1338	181	868	1405	714	1219	327	1247	1478	1464	444	730	592	505	819	951	786	1278	141	526	0	0	0	0	0	0	11204	0
alignment.nex	uid42117	28217	10365	36.733	2037	109	1172	1212	618	1581	328	896	933	1512	419	493	870	566	1291	781	999	1417	217	401	0	0	0	0	0	0	10365	0
alignment.nex	uid42613	28217	10855	38.47	1556	230	1056	1284	658	1444	345	984	1106	1517	504	533	764	530	1159	817	872	1368	184	451	0	0	0	0	0	0	10855	0
alignment.nex	uid46083	28217	10656	37.764	1794	158	1064	1337	576	1486	368	979	846	1643	437	454	794	638	1404	777	868	1327	183	428	0	0	0	0	0	0	10656	0
alignment.nex	uid46085	28217	10793	38.25	1862	130	1060	1237	581	1531	353	943	962	1552	449	483	819	514	1313	745	921	1386	190	393	0	0	0	0	0	0	10793	0
alignment.nex	uid46181	28217	10775	38.186	1798	149	1099	1363	581	1463	412	846	803	1574	435	450	809	705	1379	739	844	1420	176	397	0	0	0	0	0	0	10775	0
alignment.nex	uid46647	28217	9744	34.532	1278	201	958	1474	784	1296	377	1492	1643	1700	467	775	645	709	919	998	827	1203	144	583	0	0	0	0	0	0	9744	0
alignment.nex	uid46803	28217	10765	38.151	1574	156	880	1397	582	1431	408	965	919	1666	408	491	814	773	1283	790	885	1387	180	463	0	0	0	0	0	0	10765	0
alignment.nex	uid47077	28217	10509	37.244	2031	110	1087	1276	600	1542	357	950	1004	1542	430	485	816	581	1252	820	880	1343	217	385	0	0	0	0	0	0	10509	0
alignment.nex	uid47081	28217	10709	37.952	1864	152	1207	1150	598	1438	385	1031	935	1477	524	581	776	540	1164	910	894	1294	185	403	0	0	0	0	0	0	10709	0
alignment.nex	uid48825	28217	10484	37.155	1989	142	1003	1144	614	1457	387	942	942	1585	485	493	802	785	1243	822	881	1386	183	448	0	0	0	0	0	0	10484	0
alignment.nex	uid49487	28217	11022	39.062	1630	206	947	1318	618	1382	350	941	980	1615	451	536	809	668	1266	770	806	1301	167	434	0	0	0	0	0	0	11022	0
alignment.nex	uid50325	28217	10136	35.922	1960	132	1129	1240	615	1493	347	1004	1263	1516	435	556	846	554	1248	848	901	1392	198	404	0	0	0	0	0	0	10136	0
