Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	A	C	D	E	F	G	H	I	K	L	M	N	P	Q	R	S	T	V	W	Y	B	J	Z	X	.	*	-	?
alignment.nex	uid41169	37763	20073	53.155	1538	208	1062	1309	686	1326	357	1098	1403	1459	493	737	696	561	976	850	881	1378	190	482	0	0	0	0	0	0	20073	0
alignment.nex	uid41287	37763	20596	54.54	604	152	721	1135	878	1034	378	1793	2023	1526	392	1025	593	529	815	1177	668	888	172	664	0	0	0	0	0	0	20596	0
alignment.nex	uid42499	37763	21185	56.1	1009	192	878	1654	604	1134	319	1498	1722	1341	406	630	724	333	933	514	691	1206	183	607	0	0	0	0	0	0	21185	0
alignment.nex	uid42887	37763	21373	56.598	1280	193	917	1218	568	1281	318	1084	1314	1305	512	574	801	481	926	801	834	1246	192	545	0	0	0	0	0	0	21373	0
alignment.nex	uid43333	37763	21068	55.79	1072	128	907	1498	626	1141	361	1390	1505	1364	501	626	768	361	1046	704	648	1216	200	633	0	0	0	0	0	0	21068	0
alignment.nex	uid43467	37763	19841	52.541	2084	99	1085	1510	537	1662	378	808	696	1566	329	417	949	593	1559	750	892	1419	179	410	0	0	0	0	0	0	19841	0
alignment.nex	uid43493	37763	20927	55.417	1113	194	926	1574	650	1173	307	1266	1512	1427	412	496	763	344	1113	628	638	1482	211	607	0	0	0	0	0	0	20927	0
alignment.nex	uid45857	37763	20896	55.335	1205	190	1101	1577	609	1176	325	1327	1316	1354	432	730	711	455	818	814	800	1208	193	526	0	0	0	0	0	0	20896	0
alignment.nex	uid45893	37763	21161	56.036	1107	104	812	1330	528	1128	366	1461	1408	1507	371	531	858	337	1154	659	747	1248	228	718	0	0	0	0	0	0	21161	0
alignment.nex	uid46253	37763	20044	53.078	1809	124	1016	1261	605	1457	352	953	1085	1530	468	585	763	674	1180	818	925	1473	175	466	0	0	0	0	0	0	20044	0
alignment.nex	uid46663	37763	20099	53.224	1872	124	1150	1232	534	1538	357	834	888	1520	391	443	919	546	1302	860	1071	1445	195	443	0	0	0	0	0	0	20099	0
